Fecha_hoy,ing_hab,cto_noc,ADR,num_men,num_adu,TREVPEC,count_rows
2020-11-01,927648.0345216822,868.0,477394.2317145243,396.0,1734.0,471826.4484390275,424
2020-11-02,868258.4799878374,802.0,425539.047646939,460.0,1616.0,425609.0641854469,376
2020-11-03,820402.2345385228,760.0,385132.2962564891,400.0,1536.0,376829.25148906093,340
2020-11-04,635985.2699499313,574.0,357115.1041477913,200.0,1114.0,352913.93614718615,324
2020-11-05,918465.5601035191,816.0,477790.02651750547,256.0,1646.0,453186.72929199995,412
2020-11-06,1175183.2325952603,992.0,660277.253966319,326.0,2000.0,632749.9466405597,526
2020-11-07,1205306.4048633028,1058.0,643988.6503446932,372.0,2144.0,610740.3079434474,556
2020-11-08,877171.2980563744,792.0,515671.2769151586,402.0,1582.0,501891.57983821444,452
2020-11-09,670985.1439298306,680.0,409451.6483275711,448.0,1368.0,405116.9098298456,372
2020-11-10,690807.451028128,642.0,380988.5469373004,398.0,1290.0,378064.1736508082,354
2020-11-11,546575.0495481336,508.0,350871.7219368042,246.0,998.0,351949.8569282107,328
2020-11-12,681132.4628089678,594.0,454226.4869939913,280.0,1166.0,448105.8087999544,388
2020-11-13,1068269.710754816,866.0,618356.2630511674,402.0,1760.0,591594.9472554113,496
2020-11-14,1485168.8360340083,1170.0,759171.8640655011,532.0,2438.0,722699.9438907708,588
2020-11-15,1331465.1796961564,1060.0,683030.8471378491,490.0,2200.0,655150.0993867893,538
2020-11-16,623105.9559100938,544.0,431376.38754603354,302.0,1092.0,426239.5415090042,372
2020-11-17,608627.5913089921,558.0,384303.68386742735,224.0,1102.0,375845.67642114824,350
2020-11-18,632175.0578052853,582.0,420029.40492919,208.0,1140.0,413086.37993671274,378
2020-11-19,1065466.7960655151,954.0,626599.1690372896,348.0,1926.0,610533.8765320102,512
2020-11-20,1263047.3490344395,1088.0,675634.5439469898,478.0,2242.0,647659.8443109423,576
2020-11-21,1344486.8483225831,1158.0,698900.0224457128,490.0,2412.0,659078.0893435363,582
2020-11-22,1012932.5418038423,910.0,535455.0553857512,580.0,1850.0,507873.6755311943,468
2020-11-23,875896.5262693577,810.0,486247.85759400344,492.0,1628.0,465903.19116990035,434
2020-11-24,915400.0612623416,836.0,501922.2063620346,514.0,1688.0,481151.61928339937,438
2020-11-25,784414.3304624599,718.0,493950.1071300242,362.0,1456.0,471128.85786052834,436
2020-11-26,1054340.6675669693,910.0,615684.5715116968,366.0,1858.0,599470.2898655199,522
2020-11-27,1216346.7635692016,1064.0,736605.8903988195,422.0,2170.0,718437.0046243584,626
2020-11-28,1370790.9717976025,1158.0,793136.0796966988,484.0,2450.0,759975.7722559031,656
2020-11-29,854231.5123454733,756.0,472481.4005405327,364.0,1574.0,455909.0275165317,410
2020-11-30,578676.3324727761,528.0,337487.29155973,250.0,1064.0,331197.11590384616,302
2020-12-01,1264808.3745205377,1066.0,788983.1165405698,540.0,2200.0,743224.4567689255,634
2020-12-02,1121648.41747086,964.0,802152.1276247825,530.0,1978.0,750750.0536712699,648
2020-12-03,1424173.7362940349,1242.0,911526.8341238337,696.0,2528.0,878949.4257613625,740
2020-12-04,1637760.9624185625,1466.0,964822.6985531485,814.0,2996.0,933090.7480041551,796
2020-12-05,1755782.2615786882,1552.0,1010933.8781912226,918.0,3168.0,985392.737156808,840
2020-12-06,1278734.8999316867,1252.0,803558.5445344835,926.0,2542.0,775156.7263710693,682
2020-12-07,1291660.3993761395,1218.0,838107.241325383,888.0,2496.0,789479.7392315976,688
2020-12-08,1374468.797077811,1200.0,825786.5924139657,876.0,2454.0,794100.9141345822,668
2020-12-09,1301631.857499054,1144.0,803114.6698955436,798.0,2366.0,749083.7309673417,672
2020-12-10,1414571.6645870395,1228.0,897097.6541294104,796.0,2562.0,830387.8186731412,742
2020-12-11,1589369.1360324246,1384.0,998454.1497525668,866.0,2860.0,937027.0378796292,822
2020-12-12,1683033.9914440904,1484.0,1059778.0925233895,860.0,3062.0,999418.7830255189,892
2020-12-13,1553909.5301737718,1384.0,931457.811683379,892.0,2844.0,883242.1124570081,804
2020-12-14,1516957.5484005772,1360.0,925217.9385056188,916.0,2792.0,866623.709058909,792
2020-12-15,1419292.1987002424,1274.0,901802.1513903538,892.0,2630.0,843076.8351332658,774
2020-12-16,1381711.0819235991,1222.0,941003.5559175761,820.0,2522.0,880153.416193895,798
2020-12-17,2059586.8544228866,1652.0,1099677.2296354154,886.0,3590.0,1001488.0238209312,896
2020-12-18,2269224.1265510516,1774.0,1206267.4374684351,908.0,3846.0,1094535.7102335086,930
2020-12-19,2540102.88414123,1950.0,1423976.392498308,1046.0,4208.0,1302966.0330098579,1038
2020-12-20,2163545.2779932683,1676.0,1400412.973202232,944.0,3592.0,1295697.4962254511,1018
2020-12-21,2036529.3791668895,1450.0,1428331.5851149007,892.0,3054.0,1327245.427712554,966
2020-12-22,1829008.9198243073,1218.0,1252809.810843773,742.0,2572.0,1159798.1472234884,804
2020-12-23,2230046.9859954296,1384.0,1508596.179265839,914.0,2904.0,1430384.3752394288,894
2020-12-24,2744251.7951974287,1692.0,1711671.3209440578,1062.0,3544.0,1619896.0504757238,996
2020-12-25,2778488.2323930846,1672.0,1788006.1745842192,1042.0,3470.0,1707213.7027253977,1018
2020-12-26,2764662.795279464,1590.0,1879483.4651667485,914.0,3286.0,1792460.736238917,1028
2020-12-27,2242360.69644531,1296.0,1646860.7520325652,784.0,2674.0,1555515.344128654,882
2020-12-28,2385849.07768036,1358.0,1736460.0495536653,796.0,2790.0,1645601.4864062576,944
2020-12-29,2276446.6662179455,1290.0,1697815.9902958304,762.0,2642.0,1615788.7015671523,920
2020-12-30,2549835.957818774,1304.0,1933567.063239067,710.0,2682.0,1832571.3815369748,958
2020-12-31,2940757.991998064,1428.0,2182471.745394871,724.0,2956.0,2045427.7524030858,988
2021-01-01,2617077.7651846902,1308.0,1944504.043065328,680.0,2708.0,1809244.2485284605,914
2021-01-02,1933633.4060208462,1200.0,1433866.7513981108,674.0,2490.0,1338732.0831223652,826
2021-01-03,1602673.355951452,1086.0,1182013.4680129215,696.0,2258.0,1106534.4577591517,754
2021-01-04,1679002.2020376862,1164.0,1158234.9822808062,718.0,2432.0,1075781.875326802,758
2021-01-05,1610327.40789594,1126.0,1076865.2395606574,718.0,2358.0,1000152.1872078255,718
2021-01-06,1476129.5956061804,1048.0,980580.3574487742,654.0,2178.0,922596.4859475875,672
2021-01-07,1531597.7315493,1094.0,1030854.2420524543,652.0,2290.0,977633.5156675933,702
2021-01-08,1322409.1278229742,968.0,922328.4702862069,564.0,2042.0,855432.8948352773,644
2021-01-09,1239612.5209877293,924.0,862875.9006413607,504.0,1926.0,822639.0483860292,610
2021-01-10,794167.665107109,598.0,661509.5888134356,370.0,1210.0,650706.1926190476,484
2021-01-11,785861.9288928324,584.0,654081.6679812961,358.0,1192.0,628218.7427619047,476
2021-01-12,723569.429221197,544.0,601647.7432633908,340.0,1104.0,582826.1738192919,448
2021-01-13,702702.8043643414,546.0,578160.23578159,308.0,1082.0,573197.6444224664,444
2021-01-14,877780.7260426938,694.0,702904.5589241604,376.0,1380.0,690560.5647142857,548
2021-01-15,1027472.0671409806,824.0,810018.4703874504,378.0,1654.0,792717.7982647059,624
2021-01-16,1018372.6362738822,830.0,811783.8244668734,408.0,1706.0,774998.4432997198,632
2021-01-17,839449.6504070923,644.0,708895.9832975594,346.0,1332.0,683497.7154235209,534
2021-01-18,842844.2236201484,632.0,703438.2325439054,382.0,1310.0,670211.8042820513,512
2021-01-19,815474.3555505492,610.0,671828.8918792711,344.0,1272.0,636225.9269084249,492
2021-01-20,845973.0883661488,644.0,683722.7264262286,386.0,1332.0,638607.864051282,514
2021-01-21,983056.6784358802,776.0,743201.1877230793,380.0,1574.0,713097.03892674,570
2021-01-22,899027.19490278,738.0,664782.1219846098,326.0,1490.0,645161.6870952381,526
2021-01-23,923583.502315533,746.0,671702.8188671748,346.0,1516.0,651169.4811666667,526
2021-01-24,592057.6602296941,484.0,441959.3744368506,262.0,974.0,426910.84640723164,352
2021-01-25,580685.0078257588,456.0,434098.72562393296,316.0,932.0,401196.78416089463,328
2021-01-26,580077.1768302033,454.0,438821.1973783067,304.0,912.0,406733.96275974024,330
2021-01-27,536442.5152972748,432.0,408339.6337057019,244.0,882.0,383144.5986017316,310
2021-01-28,682137.346480275,538.0,497328.25180125266,252.0,1072.0,480721.8256170635,378
2021-01-29,727595.7167955363,580.0,523520.1737726866,264.0,1158.0,505879.336922619,408
2021-01-30,928219.5108849662,738.0,645359.5352537419,378.0,1504.0,613604.7485334967,502
2021-01-31,817194.1155388585,650.0,625218.701168632,378.0,1308.0,610635.6880317461,480
2021-02-01,659877.1960509924,528.0,474051.8392283454,270.0,1088.0,460700.3432460317,388
2021-02-02,594671.6136162227,492.0,456077.60643324023,284.0,1000.0,439435.03153968253,370
2021-02-03,632030.8458743325,524.0,482531.0693488786,276.0,1058.0,462906.05887301586,394
2021-02-04,1120858.165489322,946.0,650136.242589803,274.0,1880.0,629782.3254047877,510
2021-02-05,1358684.3402251445,1152.0,779513.1880004711,332.0,2292.0,757796.7631131724,604
2021-02-06,1428045.6296723776,1230.0,828652.3074799046,374.0,2488.0,801968.8561979812,652
2021-02-07,1153836.253009783,964.0,686147.8250878227,340.0,1962.0,659843.7107479784,546
2021-02-08,778136.1508408174,630.0,608681.6598823202,360.0,1332.0,566415.3033138189,480
